4.57E+03,4.67E+03,0.022164763
4.52E+03,4.62E+03,0.021744396
4.48E+03,4.57E+03,0.020641218
4.45E+03,4.54E+03,0.019578871
4.43E+03,4.51E+03,0.018808197
4.42E+03,4.50E+03,0.018094134
4.42E+03,4.50E+03,0.017104094
4.44E+03,4.50E+03,0.013181834
4.45E+03,4.51E+03,0.013058835
4.48E+03,4.52E+03,0.009811074
4.50E+03,4.55E+03,0.010253472
4.54E+03,4.57E+03,0.007590515
4.59E+03,4.61E+03,0.004123264
4.65E+03,4.65E+03,0.000183657
4.71E+03,4.69E+03,0.003195599
4.77E+03,4.75E+03,0.005137394
4.83E+03,4.80E+03,0.006227658
4.90E+03,4.86E+03,0.008769731
4.96E+03,4.92E+03,0.009006131
5.03E+03,4.97E+03,0.011279103
5.11E+03,5.03E+03,0.015842959
5.18E+03,5.08E+03,0.019100469
5.25E+03,5.13E+03,0.023287109
5.31E+03,5.17E+03,0.02668057
5.37E+03,5.20E+03,0.031228996
5.42E+03,5.23E+03,0.035026342
5.47E+03,5.25E+03,0.039639243
5.51E+03,5.27E+03,0.042946596
5.53E+03,5.29E+03,0.042935109
5.54E+03,5.31E+03,0.04135989
5.54E+03,5.33E+03,0.038641556
5.51E+03,5.33E+03,0.031990486
5.48E+03,5.33E+03,0.027141309
5.43E+03,5.32E+03,0.020672551
5.37E+03,5.29E+03,0.014085959
5.32E+03,5.26E+03,0.010672249
5.25E+03,5.23E+03,0.004484003
5.19E+03,5.19E+03,0.000804488
5.13E+03,5.14E+03,0.002498991
5.07E+03,5.10E+03,0.005690066
5.04E+03,5.06E+03,0.002994598
5.01E+03,5.01E+03,0.00051635
4.99E+03,4.97E+03,0.00350946
5.00E+03,4.94E+03,0.012793066
4.99E+03,4.90E+03,0.017147479
4.97E+03,4.88E+03,0.018387572
4.97E+03,4.86E+03,0.022243028
4.96E+03,4.85E+03,0.022613132
4.95E+03,4.84E+03,0.021390467
4.94E+03,4.85E+03,0.01858434
4.93E+03,4.86E+03,0.014286832
4.93E+03,4.88E+03,0.010792204
4.93E+03,4.90E+03,0.006474431
4.96E+03,4.92E+03,0.007851385
4.99E+03,4.94E+03,0.009341926
5.01E+03,4.96E+03,0.009370224
5.05E+03,4.98E+03,0.014070042
5.08E+03,4.99E+03,0.017546021
5.11E+03,5.00E+03,0.021606302
5.14E+03,5.01E+03,0.026003731
5.15E+03,5.01E+03,0.026816122
5.17E+03,5.02E+03,0.029652933
5.18E+03,5.02E+03,0.030740038
5.17E+03,5.02E+03,0.028201689
5.16E+03,5.03E+03,0.025869254
5.13E+03,5.03E+03,0.019973273
5.10E+03,5.03E+03,0.014294098
5.07E+03,5.03E+03,0.008849351
5.04E+03,5.02E+03,0.003638858
5.02E+03,5.02E+03,0.000638656
5.00E+03,5.01E+03,0.002158984
4.98E+03,5.00E+03,0.004814767
4.96E+03,5.00E+03,0.007416461
4.93E+03,4.99E+03,0.012104126
4.90E+03,4.98E+03,0.016979034
4.88E+03,4.98E+03,0.02006936
4.84E+03,4.97E+03,0.027788046
4.82E+03,4.97E+03,0.031821654
4.80E+03,4.98E+03,0.036470337
4.78E+03,4.98E+03,0.041822413
4.78E+03,4.99E+03,0.043537322
4.78E+03,5.00E+03,0.04597076
4.78E+03,5.01E+03,0.049112002
4.80E+03,5.03E+03,0.048546956
4.81E+03,5.05E+03,0.050796173
4.83E+03,5.08E+03,0.051424406
4.86E+03,5.10E+03,0.05039605
4.89E+03,5.13E+03,0.049843331
4.92E+03,5.16E+03,0.049711596
4.96E+03,5.20E+03,0.047828724
5.00E+03,5.23E+03,0.046284961
5.04E+03,5.27E+03,0.04497361
5.08E+03,5.30E+03,0.043813919
5.13E+03,5.34E+03,0.040561419
5.17E+03,5.37E+03,0.039105567
5.22E+03,5.40E+03,0.035118927
5.25E+03,5.43E+03,0.034343285
5.29E+03,5.45E+03,0.030666185
5.32E+03,5.47E+03,0.027889487
5.32E+03,5.48E+03,0.029774785
5.33E+03,5.48E+03,0.028559689
5.33E+03,5.48E+03,0.028186379
5.31E+03,5.47E+03,0.030580383
5.30E+03,5.46E+03,0.029973928
5.28E+03,5.44E+03,0.030304787
5.25E+03,5.42E+03,0.031622582
5.22E+03,5.39E+03,0.031996172
5.20E+03,5.35E+03,0.029494535
5.17E+03,5.32E+03,0.028118578
5.15E+03,5.27E+03,0.023892218
5.11E+03,5.23E+03,0.022851754
5.08E+03,5.18E+03,0.019085549
5.05E+03,5.12E+03,0.014610535
5.01E+03,5.07E+03,0.011475292
4.97E+03,5.01E+03,0.007775854
4.93E+03,4.95E+03,0.003663694
4.90E+03,4.89E+03,0.002664521
4.86E+03,4.83E+03,0.00681514
4.83E+03,4.77E+03,0.012522038
4.80E+03,4.72E+03,0.017442627
4.77E+03,4.67E+03,0.021350277
4.74E+03,4.63E+03,0.024111308
4.73E+03,4.59E+03,0.029733851
4.71E+03,4.56E+03,0.032051569
4.70E+03,4.54E+03,0.035092773
4.69E+03,4.52E+03,0.036767162
4.67E+03,4.51E+03,0.034975889
4.66E+03,4.50E+03,0.033859895
4.66E+03,4.50E+03,0.033586939
4.65E+03,4.51E+03,0.030185022
4.65E+03,4.52E+03,0.028021568
4.64E+03,4.53E+03,0.023139375
4.64E+03,4.55E+03,0.019906827
4.64E+03,4.56E+03,0.016434137
4.63E+03,4.58E+03,0.010734489
4.63E+03,4.60E+03,0.007235105
