-4.303797468354435551e-01,-3.932518661022186279e-01
-4.936708860759493334e-01,-4.357323050498962402e-01
-5.443037974683546665e-01,-4.715794920921325684e-01
-5.822784810126586663e-01,-5.000959038734436035e-01
-6.075949367088613329e-01,-5.205635428428649902e-01
-6.202531645569617780e-01,-5.324393510818481445e-01
-6.202531645569617780e-01,-5.356305837631225586e-01
-5.949367088607599996e-01,-5.300743579864501953e-01
-5.822784810126586663e-01,-5.158869624137878418e-01
-5.443037974683546665e-01,-4.931852221488952637e-01
-5.189873417721519999e-01,-4.624806344509124756e-01
-4.683544303797466668e-01,-4.238094091415405273e-01
-4.050632911392408886e-01,-3.771787881851196289e-01
-3.291139240506328889e-01,-3.226890563964843750e-01
-2.531645569620257774e-01,-2.610211670398712158e-01
-1.772151898734177777e-01,-1.929176300764083862e-01
-1.012658227848106662e-01,-1.186573877930641174e-01
-1.265822784810133328e-02,-3.806682303547859192e-02
6.329113924050577822e-02,4.759956896305084229e-02
1.518987341772151112e-01,1.360307931900024414e-01
2.531645569620248892e-01,2.258322685956954956e-01
3.417721518987342222e-01,3.147044479846954346e-01
4.303797468354426670e-01,3.986554443836212158e-01
5.063291139240506666e-01,4.751974344253540039e-01
5.822784810126577781e-01,5.422252416610717773e-01
6.455696202531644445e-01,5.980095267295837402e-01
7.088607594936711109e-01,6.425745487213134766e-01
7.594936708860755559e-01,6.769351363182067871e-01
7.848101265822782224e-01,7.012512087821960449e-01
7.974683544303795557e-01,7.162029743194580078e-01
7.974683544303795557e-01,7.225096821784973145e-01
7.594936708860755559e-01,7.203929424285888672e-01
7.215189873417724442e-01,7.093455195426940918e-01
6.582278481012657778e-01,6.888864040374755859e-01
5.822784810126577781e-01,6.587481498718261719e-01
5.189873417721519999e-01,6.178904175758361816e-01
4.303797468354426670e-01,5.663093328475952148e-01
3.544303797468355555e-01,5.040821433067321777e-01
2.784810126582275558e-01,4.323212504386901855e-01
2.025316455696204443e-01,3.531696200370788574e-01
1.645569620253164445e-01,2.704729139804840088e-01
1.265822784810124446e-01,1.895103454589843750e-01
1.012658227848097781e-01,1.138475537300109863e-01
1.139240506329111113e-01,4.640542343258857727e-02
1.012658227848097781e-01,-9.388336911797523499e-03
7.594936708860711150e-02,-5.417903512716293335e-02
7.594936708860711150e-02,-8.790931850671768188e-02
6.329113924050577822e-02,-1.095056384801864624e-01
5.063291139240533312e-02,-1.210315823554992676e-01
3.797468354430399984e-02,-1.225184723734855652e-01
2.531645569620266656e-02,-1.155608817934989929e-01
2.531645569620266656e-02,-1.004349291324615479e-01
2.531645569620266656e-02,-7.851336896419525146e-02
6.329113924050577822e-02,-5.123816803097724915e-02
1.012658227848097781e-01,-1.769617386162281036e-02
1.265822784810124446e-01,2.036401256918907166e-02
1.772151898734177777e-01,6.121980771422386169e-02
2.151898734177217776e-01,1.045100167393684387e-01
2.531645569620248892e-01,1.473816484212875366e-01
2.911392405063288891e-01,1.876895725727081299e-01
3.037974683544302223e-01,2.243477851152420044e-01
3.291139240506328889e-01,2.552017867565155029e-01
3.417721518987342222e-01,2.788849174976348877e-01
3.291139240506328889e-01,2.947445809841156006e-01
3.164556962025315556e-01,3.016734421253204346e-01
2.784810126582275558e-01,2.990131676197052002e-01
2.405063291139235560e-01,2.863318920135498047e-01
2.025316455696204443e-01,2.642133235931396484e-01
1.645569620253164445e-01,2.333760559558868408e-01
1.392405063291137779e-01,1.952294260263442993e-01
1.139240506329111113e-01,1.524302810430526733e-01
8.860759493670844478e-02,1.075586751103401184e-01
6.329113924050577822e-02,6.232349574565887451e-02
