-4.303797468354435551e-01,-4.110703170299530029e-01
-4.936708860759493334e-01,-4.493041038513183594e-01
-5.443037974683546665e-01,-4.810509383678436279e-01
-5.822784810126586663e-01,-5.056398510932922363e-01
-6.075949367088613329e-01,-5.224573016166687012e-01
-6.202531645569617780e-01,-5.309244990348815918e-01
-6.202531645569617780e-01,-5.301923155784606934e-01
-5.949367088607599996e-01,-5.205298066139221191e-01
-5.822784810126586663e-01,-5.021416544914245605e-01
-5.443037974683546665e-01,-4.749085009098052979e-01
-5.189873417721519999e-01,-4.398988485336303711e-01
-4.683544303797466668e-01,-3.964615464210510254e-01
-4.050632911392408886e-01,-3.450853526592254639e-01
-3.291139240506328889e-01,-2.859279215335845947e-01
-2.531645569620257774e-01,-2.201345115900039673e-01
-1.772151898734177777e-01,-1.492809206247329712e-01
-1.012658227848106662e-01,-7.351598143577575684e-02
-1.265822784810133328e-02,7.676150184124708176e-03
6.329113924050577822e-02,9.231817722320556641e-02
1.518987341772151112e-01,1.777340620756149292e-01
2.531645569620248892e-01,2.630763053894042969e-01
3.417721518987342222e-01,3.462748825550079346e-01
4.303797468354426670e-01,4.236264824867248535e-01
5.063291139240506666e-01,4.940350055694580078e-01
5.822784810126577781e-01,5.558318495750427246e-01
6.455696202531644445e-01,6.070626974105834961e-01
7.088607594936711109e-01,6.480903625488281250e-01
7.594936708860755559e-01,6.802024841308593750e-01
7.848101265822782224e-01,7.030306458473205566e-01
7.974683544303795557e-01,7.170058488845825195e-01
7.974683544303795557e-01,7.228188514709472656e-01
7.594936708860755559e-01,7.204471230506896973e-01
7.215189873417724442e-01,7.091630697250366211e-01
6.582278481012657778e-01,6.883100271224975586e-01
5.822784810126577781e-01,6.575340032577514648e-01
5.189873417721519999e-01,6.156994104385375977e-01
4.303797468354426670e-01,5.628203749656677246e-01
3.544303797468355555e-01,4.992379248142242432e-01
2.784810126582275558e-01,4.262206554412841797e-01
2.025316455696204443e-01,3.462797999382019043e-01
1.645569620253164445e-01,2.645080089569091797e-01
1.265822784810124446e-01,1.852950751781463623e-01
1.012658227848097781e-01,1.120904982089996338e-01
1.139240506329111113e-01,4.791225120425224304e-02
1.012658227848097781e-01,-5.369318649172782898e-03
7.594936708860711150e-02,-4.790543392300605774e-02
7.594936708860711150e-02,-8.017640560865402222e-02
6.329113924050577822e-02,-1.011679843068122864e-01
5.063291139240533312e-02,-1.120151206851005554e-01
3.797468354430399984e-02,-1.138075217604637146e-01
2.531645569620266656e-02,-1.072075664997100830e-01
2.531645569620266656e-02,-9.276828914880752563e-02
2.531645569620266656e-02,-7.296645641326904297e-02
6.329113924050577822e-02,-4.869132861495018005e-02
1.012658227848097781e-01,-1.917415298521518707e-02
1.265822784810124446e-01,1.418226771056652069e-02
1.772151898734177777e-01,5.020597949624061584e-02
2.151898734177217776e-01,8.877450972795486450e-02
2.531645569620248892e-01,1.277173459529876709e-01
2.911392405063288891e-01,1.646088659763336182e-01
