T,H,Surge,Sway,Heave,Roll,Pitch,Yaw,Force1,Force2
43.10000064,2.35E+02,-4.81E+01,-7.93E-01,1.82E+02,-6.06E-04,1.86E-02,-3.08E-04,5.18E+03,5.26E+03
44.10000066,4.19E+02,1.10E+02,1.61E+00,4.46E+02,2.40E-04,1.48E-02,9.59E-05,6.02E+03,5.06E+03
45.10000067,6.24E+02,1.45E+02,4.64E-01,5.23E+02,6.29E-04,6.71E-03,1.11E-04,6.18E+03,5.09E+03
46.10000069,5.16E+02,6.16E+01,9.07E-01,4.24E+02,7.50E-04,-1.77E-02,-3.38E-05,5.61E+03,5.43E+03
47.1000007,9.58E+01,2.15E+01,2.99E+00,1.47E+02,6.01E-04,-3.39E-02,-8.42E-05,5.03E+03,5.34E+03
48.10000072,-2.67E+02,-1.45E+01,-1.43E+00,-2.64E+02,2.90E-04,-3.15E-02,-1.83E-04,4.44E+03,4.96E+03
49.10000073,-5.39E+02,-8.28E+01,2.50E+00,-5.58E+02,7.59E-04,-1.73E-02,-2.27E-04,3.93E+03,4.73E+03
50.10000075,-6.13E+02,-7.11E+01,3.43E+00,-5.38E+02,-3.83E-04,1.17E-02,9.14E-05,4.18E+03,4.51E+03
51.10000076,-2.40E+02,6.63E-02,-3.46E+00,-2.35E+02,-1.75E-04,4.19E-02,7.81E-05,5.03E+03,4.46E+03
52.10000078,2.81E+02,1.91E+01,7.83E-01,1.23E+02,-3.37E-04,3.37E-02,5.62E-05,5.45E+03,4.86E+03
53.10000079,4.34E+02,-7.61E-01,-3.59E+00,3.53E+02,-1.65E-04,-1.19E-04,6.84E-05,5.43E+03,5.44E+03
54.10000081,2.71E+02,7.96E+01,4.02E+00,3.04E+02,-2.67E-04,-1.80E-02,2.34E-05,5.50E+03,5.20E+03
55.10000082,9.74E+01,5.41E+01,2.62E+00,6.31E+01,-8.10E-05,-2.06E-02,1.58E-04,5.12E+03,5.02E+03
56.10000084,-1.35E+02,-2.37E+01,-1.47E+00,-1.64E+02,-2.21E-04,-1.51E-02,-3.20E-04,4.63E+03,4.99E+03
57.10000085,-2.92E+02,-2.82E+01,1.30E-01,-2.24E+02,-3.81E-04,6.24E-04,-3.33E-04,4.64E+03,4.82E+03
58.10000087,-1.43E+02,-1.50E+01,-7.24E-01,-1.85E+02,-2.20E-04,1.44E-02,1.95E-04,4.83E+03,4.74E+03
59.10000088,1.58E+01,-2.05E+01,-1.14E+00,-6.40E+01,1.43E-04,1.25E-02,2.09E-04,4.94E+03,4.91E+03
60.1000009,6.25E+01,-2.30E+01,6.21E-01,4.88E+01,5.36E-04,-2.36E-04,-3.04E-04,4.98E+03,5.14E+03
61.10000091,1.26E+02,3.52E+01,-7.32E-01,9.48E+01,3.95E-04,-9.34E-04,-2.47E-04,5.23E+03,5.00E+03
62.10000093,1.52E+02,5.74E+01,-2.21E+00,1.38E+02,2.71E-04,4.38E-03,8.60E-05,5.40E+03,4.95E+03
63.10000094,1.71E+02,5.33E+00,2.67E+00,1.38E+02,-2.82E-04,-2.08E-04,-8.39E-05,5.17E+03,5.14E+03
64.10000096,1.18E+02,-8.69E-01,4.03E+00,8.34E+01,2.13E-05,-4.44E-03,1.54E-04,5.05E+03,5.12E+03
65.10000097,-5.41E+01,-9.09E+00,5.85E-01,-5.95E+01,4.48E-04,-1.35E-02,1.95E-04,4.81E+03,5.05E+03
66.10000099,-2.50E+02,-6.79E+01,-2.02E+00,-3.02E+02,1.12E-04,-2.31E-02,-1.27E-04,4.26E+03,5.04E+03
67.100001,-4.56E+02,-5.93E+01,-9.77E-01,-4.28E+02,-2.73E-04,-1.06E-02,-1.72E-04,4.22E+03,4.77E+03
68.10000101,-3.85E+02,4.06E+01,-1.06E+00,-3.09E+02,-2.57E-04,2.24E-02,-2.59E-04,4.93E+03,4.35E+03
69.10000103,9.05E+01,1.65E+01,1.47E+00,-7.33E+00,-3.59E-05,3.85E-02,-6.45E-05,5.32E+03,4.68E+03
70.10000104,4.29E+02,-2.20E+01,2.20E+00,2.69E+02,-1.04E-03,1.50E-02,1.98E-04,5.34E+03,5.29E+03
71.10000106,3.78E+02,5.02E+01,-2.80E+00,3.95E+02,-2.39E-04,-9.80E-03,1.09E-05,5.59E+03,5.38E+03
72.10000107,2.53E+02,8.44E+01,-2.59E+00,2.49E+02,2.15E-05,-1.84E-02,5.97E-05,5.48E+03,5.15E+03
73.10000109,6.15E+01,1.04E+01,2.44E-01,-2.15E+01,-1.29E-04,-2.28E-02,1.02E-04,4.86E+03,5.10E+03
74.1000011,-2.25E+02,-1.19E+01,1.91E+00,-1.57E+02,4.54E-04,-1.02E-02,-1.18E-04,4.70E+03,4.92E+03
75.10000112,-1.98E+02,4.74E+01,2.71E+00,-1.35E+02,3.22E-04,1.87E-02,-3.78E-05,5.12E+03,4.55E+03
76.10000113,7.30E+01,1.99E+01,4.18E+00,-6.91E+01,8.03E-04,1.90E-02,-4.83E-04,5.11E+03,4.71E+03
77.10000115,3.96E+01,-1.15E+02,3.88E+00,-7.61E+01,2.13E-04,-1.31E-02,-6.15E-05,4.41E+03,5.38E+03
78.10000116,-2.41E+02,-4.50E+01,-3.89E+00,-1.81E+02,7.05E-04,-2.47E-02,-2.83E-04,4.49E+03,5.13E+03
79.10000118,-3.24E+02,3.79E+01,1.82E+00,-2.84E+02,-9.94E-04,-1.04E-03,-5.83E-04,4.77E+03,4.52E+03
80.10000119,-1.51E+02,3.31E+00,-1.62E+00,-2.06E+02,-5.46E-04,1.86E-02,-3.14E-05,4.90E+03,4.62E+03
81.10000121,6.92E+01,-4.11E+01,-2.85E+00,1.99E+01,2.18E-04,1.85E-02,-5.64E-05,5.02E+03,5.05E+03
82.10000122,2.50E+02,8.89E+00,1.17E+00,2.22E+02,-1.28E-04,1.02E-02,-3.50E-04,5.36E+03,5.16E+03
83.10000124,3.33E+02,6.45E+01,-2.59E+00,2.86E+02,-1.88E-04,7.43E-04,2.79E-04,5.58E+03,5.13E+03
84.10000125,2.49E+02,2.27E+01,-7.99E-01,2.07E+02,-1.14E-04,-1.19E-02,2.18E-04,5.25E+03,5.26E+03
85.10000127,7.86E+01,-1.38E+01,9.18E-01,7.19E+01,-8.44E-05,-1.52E-02,-3.04E-04,4.93E+03,5.24E+03
86.10000128,-6.35E+01,6.08E+01,-2.56E+00,-1.78E+01,-1.68E-04,-3.92E-04,-6.99E-05,5.19E+03,4.78E+03
87.1000013,-4.03E+01,2.42E+01,7.21E-01,-6.59E+01,-4.18E-04,6.26E-03,-7.41E-05,5.04E+03,4.79E+03
88.10000131,-3.09E+01,-8.65E+01,-2.43E+00,-1.69E+02,-3.11E-04,-1.29E-02,-1.16E-04,4.42E+03,5.19E+03
89.10000133,-3.08E+02,-7.44E+01,7.48E-01,-2.88E+02,4.91E-04,-2.22E-02,2.63E-05,4.26E+03,5.07E+03
90.10000134,-4.29E+02,3.61E+01,4.98E+00,-3.35E+02,3.44E-04,7.38E-04,-2.30E-05,4.71E+03,4.46E+03
91.10000136,-1.71E+02,3.13E+01,3.09E+00,-2.36E+02,3.94E-05,2.56E-02,-1.15E-03,4.99E+03,4.43E+03
92.10000137,5.10E+01,-8.50E+01,1.26E+00,-5.10E+01,-1.89E-04,1.56E-02,-4.06E-04,4.75E+03,5.12E+03
93.10000139,1.43E+02,-6.83E+01,-5.61E-01,1.20E+02,4.28E-04,-5.02E-04,3.00E-04,4.91E+03,5.39E+03
94.1000014,2.17E+02,1.28E+02,-6.54E-01,2.40E+02,2.11E-06,1.12E-02,-3.59E-04,5.81E+03,4.78E+03
95.10000142,4.01E+02,1.42E+02,-7.78E+00,3.64E+02,2.91E-05,1.52E-02,5.72E-04,6.06E+03,4.88E+03
96.10000143,4.93E+02,3.96E+01,-2.23E+00,3.61E+02,5.14E-04,-6.07E-03,6.57E-04,5.54E+03,5.35E+03
97.10000145,1.79E+02,2.00E+01,2.21E+00,2.03E+02,-2.44E-04,-2.46E-02,-2.51E-04,5.14E+03,5.34E+03
98.10000146,-1.92E+02,-1.61E+01,-2.91E+00,-1.76E+02,-1.44E-04,-3.57E-02,-2.35E-04,4.51E+03,5.11E+03
99.10000148,-5.02E+02,-7.55E+01,7.94E-01,-5.53E+02,2.06E-04,-2.72E-02,6.85E-05,3.90E+03,4.79E+03
100.1000015,-7.33E+02,-5.52E+01,4.37E+00,-6.22E+02,-2.72E-05,4.31E-03,5.10E-05,4.08E+03,4.40E+03
