4.570000000000000000e+03,4.733546875000000000e+03,4.738290527343750000e+03,4.609812988281250000e+03,4.572824707031250000e+03,4.587645507812500000e+03,4.573902343750000000e+03
4.520000000000000000e+03,4.725525878906250000e+03,4.701553710937500000e+03,4.569031250000000000e+03,4.535849121093750000e+03,4.550784179687500000e+03,4.532687500000000000e+03
4.480000000000000000e+03,4.711530273437500000e+03,4.667566894531250000e+03,4.534295898437500000e+03,4.505256347656250000e+03,4.520005859375000000e+03,4.498350097656250000e+03
4.450000000000000000e+03,4.697797363281250000e+03,4.638536132812500000e+03,4.506500000000000000e+03,4.481408203125000000e+03,4.496498535156250000e+03,4.471757812500000000e+03
4.430000000000000000e+03,4.687285644531250000e+03,4.616102050781250000e+03,4.486111816406250000e+03,4.464694335937500000e+03,4.480821777343750000e+03,4.453565917968750000e+03
4.420000000000000000e+03,4.682642089843750000e+03,4.600358398437500000e+03,4.473342285156250000e+03,4.455399902343750000e+03,4.473093750000000000e+03,4.444152832031250000e+03
4.420000000000000000e+03,4.682817382812500000e+03,4.593005859375000000e+03,4.468488769531250000e+03,4.454180664062500000e+03,4.473779296875000000e+03,4.443498535156250000e+03
4.440000000000000000e+03,4.686398925781250000e+03,4.594503417968750000e+03,4.471366210937500000e+03,4.460791503906250000e+03,4.482236328125000000e+03,4.451271484375000000e+03
4.450000000000000000e+03,4.692729980468750000e+03,4.602657714843750000e+03,4.481807617187500000e+03,4.474982421875000000e+03,4.497949707031250000e+03,4.467127929687500000e+03
4.480000000000000000e+03,4.700803222656250000e+03,4.616482910156250000e+03,4.499914550781250000e+03,4.496821289062500000e+03,4.520753417968750000e+03,4.490774414062500000e+03
4.500000000000000000e+03,4.707698242187500000e+03,4.636529785156250000e+03,4.525261230468750000e+03,4.525398437500000000e+03,4.549660156250000000e+03,4.521340332031250000e+03
4.540000000000000000e+03,4.718509277343750000e+03,4.662465820312500000e+03,4.557666503906250000e+03,4.560979980468750000e+03,4.584655761718750000e+03,4.558617187500000000e+03
4.590000000000000000e+03,4.733861816406250000e+03,4.691803710937500000e+03,4.596526855468750000e+03,4.602972167968750000e+03,4.624700195312500000e+03,4.602064941406250000e+03
4.650000000000000000e+03,4.755031738281250000e+03,4.724052734375000000e+03,4.641269042968750000e+03,4.651133300781250000e+03,4.668950195312500000e+03,4.651219238281250000e+03
4.710000000000000000e+03,4.777536132812500000e+03,4.758257812500000000e+03,4.691175781250000000e+03,4.704636230468750000e+03,4.716436035156250000e+03,4.704977539062500000e+03
4.770000000000000000e+03,4.800293945312500000e+03,4.793501953125000000e+03,4.745516113281250000e+03,4.762226562500000000e+03,4.766169433593750000e+03,4.762211425781250000e+03
4.830000000000000000e+03,4.826770019531250000e+03,4.831621582031250000e+03,4.803891113281250000e+03,4.823739257812500000e+03,4.818052246093750000e+03,4.822539550781250000e+03
4.900000000000000000e+03,4.859393066406250000e+03,4.873703613281250000e+03,4.866075683593750000e+03,4.889634277343750000e+03,4.872546875000000000e+03,4.886104980468750000e+03
4.960000000000000000e+03,4.892734375000000000e+03,4.919047851562500000e+03,4.931065429687500000e+03,4.958380371093750000e+03,4.929130371093750000e+03,4.951819824218750000e+03
5.030000000000000000e+03,4.924343261718750000e+03,4.967046875000000000e+03,4.997381347656250000e+03,5.027773925781250000e+03,4.986934570312500000e+03,5.018136718750000000e+03
5.110000000000000000e+03,4.961411132812500000e+03,5.017578125000000000e+03,5.063788574218750000e+03,5.097034179687500000e+03,5.045593750000000000e+03,5.084650390625000000e+03
5.180000000000000000e+03,5.002578125000000000e+03,5.070934570312500000e+03,5.128640136718750000e+03,5.164508789062500000e+03,5.104035156250000000e+03,5.150173828125000000e+03
5.250000000000000000e+03,5.039327636718750000e+03,5.124247558593750000e+03,5.189825195312500000e+03,5.227244140625000000e+03,5.160394042968750000e+03,5.212128906250000000e+03
5.310000000000000000e+03,5.076678710937500000e+03,5.177008789062500000e+03,5.245919921875000000e+03,5.284416503906250000e+03,5.213883300781250000e+03,5.269191406250000000e+03
5.370000000000000000e+03,5.111918945312500000e+03,5.227289550781250000e+03,5.295700683593750000e+03,5.334689941406250000e+03,5.263303222656250000e+03,5.319877441406250000e+03
5.420000000000000000e+03,5.143313964843750000e+03,5.271528320312500000e+03,5.337966796875000000e+03,5.376376464843750000e+03,5.306490722656250000e+03,5.362676757812500000e+03
5.470000000000000000e+03,5.173667480468750000e+03,5.309493164062500000e+03,5.372616210937500000e+03,5.409782714843750000e+03,5.342806640625000000e+03,5.397562988281250000e+03
